file,primary_role,notes_before,notes_after,reduced,harmony_preserved,trills,cc,korg_valid,musical_before,musical_after
Srce pise suzama - Keba ).mid,drums,6403,6403,0,0,0,6403,True,70.8,86.7
Srno moja malena - Saban Saulic ).mid,drums,12329,12329,0,0,174,12329,True,70.8,87.5
Stani Malo Hej Ljepoto - Halid Muslimovic ).mid,accordion,9399,9399,0,0,0,9399,True,70.8,86.7
Stann mladosti - Zoran Kalezic ).mid,drums,6131,6131,0,0,0,6131,True,70.8,86.7
Sto_je_tuzna_breza_ta_-_Halid_Beslic.mid,piano,10160,10160,0,0,421,10160,True,70.8,87.5
Subota - Asim Bajric ).mid,drums,8527,8527,0,0,0,8527,True,70.8,86.7
Sudbina me lagala - Sinan Sakic ).mid,organ,4622,4622,0,0,0,4622,True,70.8,86.7
Sve Je Postalo Pepeo I Dim - Sinan Sakic ).mid,drums,4832,4832,0,0,12,4832,True,70.8,87.5
Sve je moje tvoje - Zeljko Samardzic ).mid,accordion,9441,9441,0,0,2,9441,True,70.8,87.5
Svirajte napravicu lom - Sinan Sakic ).mid,accordion,8895,8895,0,0,0,8895,True,70.8,86.7
Svirajte nocas samo za nju - Toma Zdravkovic ).mid,accordion,5060,5060,0,0,36,5060,True,70.8,87.5
Ta_je_zena_varala_me_-_Halid_Beslic.mid,drums,7961,7961,0,0,60,7961,True,70.8,87.5
Tebi - Miroslav Ilic ).mid,drums,9961,9961,0,0,34,9961,True,70.8,87.5
Tebi za rodjendan - Sako Polumenta ).mid,accordion,10675,10675,0,0,12,10675,True,70.8,87.5
Ti meni lazes sve - Dusko Kulis ).mid,organ,21196,21196,0,0,6,21196,True,70.8,87.5
Ti ne licis ni na jednu - Ljuba Alicic ).mid,drums,12838,12838,0,0,28,12838,True,70.8,87.5
Ti si tudja zena - Muharem Serbezovski ).mid,drums,6332,6332,0,0,32,6332,True,70.8,87.5
Ti_meni_lazes_sve_-_Dusko_Kulis.mid,drums,13247,13247,0,0,95,13247,True,70.8,87.5
Ti_pakosna_zeno_-_Saban_Saulic.mid,drums,6672,6672,0,0,0,6672,True,70.8,86.7
"Tople noci, vreli dani - Dejan Matic ).mid",woodwind,8285,8285,0,0,294,8285,True,70.8,87.5
Treba_vremena_-_Semir_Ceric_Koke.mid,accordion,3331,3331,0,0,0,3331,True,70.8,86.7
Tri ruze - Halid Beslic ).mid,accordion,10555,10555,0,0,1088,10555,True,70.8,87.5
Tri sina junaka - Saban Saulic ).mid,accordion,12591,12591,0,0,996,12591,True,70.8,87.5
Tuzno leto - Toma Zdravkovic ).mid,drums,6164,6164,0,0,0,6164,True,70.8,86.6
U godini jedan dan - Muharem Serbezovski $.mid,drums,6428,6428,0,0,0,6428,True,70.8,86.6
U plamenu jedne vatre - Halid Beslic ).mid,drums,8183,8183,0,0,0,8183,True,70.8,86.7
U svijetu sam zivot ostavio - Mahir Burekovic ).mid,accordion,11408,11408,0,0,402,11408,True,70.8,87.5
Udaje Se Moja Mezimica - Hakala ).mid,drums,7966,7966,0,0,4,7966,True,70.8,87.5
Udala Se Ona - Sejo Kejdura ).mid,drums,6835,6835,0,0,0,6835,True,70.8,86.7
Ulica_radja_gresnike_-_Acko_Nezirovic.mid,piano,7218,7218,0,0,32,7218,True,70.8,87.5
Umrecu bez tebe nevero moja - Mitar Miric ).mid,accordion,16412,16412,0,0,189,16412,True,70.8,87.5
Umri u samoci - Hakala ).mid,drums,3477,3477,0,0,0,3477,True,70.8,86.7
Usne vrele kao zar - Nino ).mid,drums,7780,7780,0,0,0,7780,True,70.8,86.7
Vencajte me sa njenom lepotom - Jasar Ahmedovski ).mid,accordion,13324,13324,0,0,248,13324,True,70.8,87.5
Verujem u ljubav - Saban Saulic ).mid,accordion,5913,5913,0,0,0,5913,True,70.8,86.6
Vidjas li mi staru ljubav - Saban Saulic ).mid,drums,11787,11787,0,0,0,11787,True,70.8,86.6
Volecu_te_do_kraja_zivota_-_Miroslav_Ilic.mid,drums,6134,6134,0,0,0,6134,True,70.8,86.7
Voli_me_danas_-_Mitar_Miric.mid,piano,11454,11454,0,0,73,11454,True,70.8,87.3
Volim_majko_siroticu_-_Meho_Puzic.mid,accordion,7675,7675,0,0,168,7675,True,70.8,87.5
Voljela si jutrom da uranis - Saban Saulic ).mid,drums,7844,7844,0,0,0,7844,True,70.8,86.7
Vuk samotnjak - Mile Kitic ).mid,accordion,8784,8784,0,0,0,8784,True,70.8,86.7
Zaljubljen sam stara majko - Halid Beslic ).mid,accordion,10113,10113,0,0,0,10113,True,70.8,86.7
Zaljubljen u tebe - Sinan Sakic ).mid,accordion,5998,5998,0,0,24,5998,True,70.8,87.5
Zapisano_u_vremenu_-_Baja.mid,drums,8802,8802,0,0,0,8802,True,70.8,86.7
Zaplakala Bosna - Halid Muslimovic ).mid,terca,5281,5281,0,0,370,5281,True,70.8,87.5
Zbog tebe sam vino pio - Serif Konjevic ).mid,accordion,11538,11538,0,0,0,11538,True,70.8,86.7
Zbogom Noci Zbogom Zore - Halid Beslic ).mid,accordion,8677,8677,0,0,0,8677,True,70.8,86.7
"Zek, zek - Dzej & Gagi Band.mid",drums,9048,9048,0,0,0,9048,True,70.8,86.7
Zelena - Nihad Alibegovic ).mid,accordion,6870,6870,0,0,73,6870,True,70.8,87.5
Zenica_-_Hakala.mid,choir,11231,11231,0,0,0,11231,True,70.8,86.7
Zlatar - Hule ).mid,accordion,10877,10877,0,0,0,10877,True,70.8,86.7
Zlatna burma  - Sinan Sakic ).mid,accordion,12559,12559,0,0,225,12559,True,70.8,87.5
Znam za sve sam kriv - Halid Muslimovic ).mid,drums,8417,8417,0,0,0,8417,True,70.8,86.7
